datetime,open_price,high_price,low_price,close_price,volume,buy_volume,transactions,buy_transactions,long_short_ratio,long_liquidation,short_liquidation,open_predicted_funding_rate,high_predicted_funding_rate,low_predicted_funding_rate,close_predicted_funding_rate,open_funding_rate,high_funding_rate,low_funding_rate,close_funding_rate,open_open_interest,high_open_interest,low_open_interest,close_open_interest,volume_delta,cumulative_volume_delta,transaction_delta,cumulative_transaction_delta,liquidation_delta,cumulative_liquidation_delta
2019-09-13,10414.96,10440.55,10153.51,10341.34,19260.071000000393,9723.458000000168,28011,14938.0,,,,,,,,,,,,,,,,186.84499999994296,186.84499999994296,1865.0,1865.0,,
2019-09-14,10343.01,10419.97,10222.77,10332.25,20685.72799999982,9537.192000000112,28783,17393.0,,,,,,,,,,,,,,,,-1611.3439999995971,-1424.4989999996542,6003.0,7868.0,,
2019-09-15,10333.47,10359.2,10024.81,10302.22,20548.461000000156,7433.95700000007,25145,13365.0,,,,,,,,,,,,,,,,-5680.547000000014,-7105.045999999668,1585.0,9453.0,,
2019-09-16,10302.0,10353.81,10080.7,10249.27,19722.015000000723,6842.919000000371,28015,15181.0,,,,,,,,,,,,,,,,-6036.1769999999815,-13141.222999999649,2347.0,11800.0,,
2019-09-17,10257.3,10270.63,10136.77,10186.52,22554.53800000014,12686.993000000184,28884,15076.0,,,,,,,,,,,,,,,,2819.4480000002295,-10321.77499999942,1268.0,13068.0,,
2019-09-18,10185.94,10256.65,10097.92,10155.16,20776.18300000084,13404.95000000035,28591,13702.0,,,,,,,,,,,,,,,,6033.716999999859,-4288.057999999561,-1187.0,11881.0,,
2019-09-19,10154.7,10331.62,9530.02,10245.3,26360.789000000503,10277.88500000034,37312,18505.0,,,,,,,,,,,,,,,,-5805.018999999822,-10093.076999999383,-302.0,11579.0,,
2019-09-20,10247.7,10279.3,10070.5,10166.35,23337.878000000743,9555.216000000179,29125,14473.0,,,,,,,,,,,,,,,,-4227.4460000003855,-14320.522999999768,-179.0,11400.0,,
2019-09-21,10166.56,10175.3,9912.63,9983.33,23765.850000000126,8275.310000000303,29658,15689.0,,,,,,,,,,,,,,,,-7215.229999999519,-21535.752999999288,1720.0,13120.0,,
2019-09-22,9992.7,10089.52,9857.0,10023.04,24230.19100000038,10629.006000000318,30261,16789.0,,,,,,,,,,,,,,,,-2972.1789999997454,-24507.931999999033,3317.0,16437.0,,
2019-09-23,10027.69,10046.91,9620.0,9701.96,32636.334999999857,15258.505000001005,37051,19721.0,,,,,,,,,,,,,,,,-2119.324999997847,-26627.25699999688,2391.0,18828.0,,
2019-09-24,9701.1,9792.83,7761.75,8495.83,74744.49299999271,37011.370000002105,104601,54050.0,,,,,,,,,,,,,,,,-721.752999988501,-27349.00999998538,3499.0,22327.0,,
2019-09-25,8493.32,8725.24,8200.0,8430.07,48218.84799999991,24969.128000001703,77357,41633.0,,,,,,,,,,,,,,,,1719.4080000034955,-25629.601999981885,5909.0,28236.0,,
2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.94499999965,29931.387999999813,94122,48887.0,,,,,,,,,,,,,,,,-203.16900000002352,-25832.77099998191,3652.0,31888.0,,
2019-09-27,8061.98,8260.0,7851.94,8176.52,40023.94500000539,20950.70000000096,66462,37106.0,,,,,,,,,,,,,,,,1877.4549999965311,-23955.315999985378,7750.0,39638.0,,
2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.91900000329,16862.162000000073,54678,30644.0,,,,,,,,,,,,,,,,-96.59500000314438,-24051.910999988522,6610.0,46248.0,,
2019-09-29,8199.0,8226.35,7888.98,8041.96,35966.05600000032,20057.619000001727,61955,35726.0,,,,,,,,,,,,,,,,4149.182000003137,-19902.728999985386,9497.0,55745.0,,
2019-09-30,8042.08,8331.89,7709.01,8285.84,54389.87999999656,27913.11100000043,81412,44003.0,,,,,,,,,,,,,,,,1436.342000004297,-18466.38699998109,6594.0,62339.0,,
